iter	Passed	Remaining
0	58	57981
1	58	29081
2	58	19434
3	58	14610
4	58	11714
5	59	9785
6	59	8407
7	59	7373
8	59	6571
9	59	5930
10	60	5409
11	60	4978
12	60	4611
13	60	4292
14	61	4015
15	61	3779
16	61	3573
17	62	3383
18	62	3215
19	62	3062
20	62	2925
21	63	2801
22	63	2686
23	63	2581
24	63	2483
25	63	2392
26	64	2308
27	64	2230
28	64	2158
29	64	2090
30	64	2027
31	65	1973
32	65	1919
33	65	1870
34	66	1820
35	66	1773
36	66	1728
37	66	1686
38	66	1646
39	67	1609
40	67	1573
41	67	1538
42	67	1505
43	67	1474
44	68	1444
45	68	1416
46	68	1389
47	68	1365
48	69	1341
49	69	1317
50	69	1295
51	69	1272
52	70	1251
53	70	1231
54	70	1212
55	70	1194
56	71	1176
57	71	1158
58	71	1141
59	71	1123
60	71	1107
61	72	1091
62	72	1076
63	72	1062
64	72	1048
65	73	1034
66	73	1021
67	73	1006
68	73	994
69	73	982
70	74	970
71	74	958
72	74	947
73	74	936
74	75	926
75	75	916
76	75	907
77	75	898
78	76	889
79	76	880
80	76	871
81	77	862
82	77	854
83	77	845
84	77	835
85	77	827
86	77	818
87	78	810
88	78	803
89	78	795
90	78	788
91	79	782
92	79	775
93	79	768
94	79	762
95	80	755
96	80	749
97	80	743
98	81	737
99	81	731
100	81	726
101	81	719
102	82	714
103	82	708
104	82	703
105	82	698
106	83	692
107	83	687
108	83	682
109	83	677
110	83	672
111	84	667
112	84	662
113	84	657
114	84	653
115	85	648
116	85	643
117	85	639
118	85	634
119	85	629
120	86	625
121	86	621
122	86	615
123	86	611
124	86	607
125	87	603
126	87	600
127	87	595
128	87	591
129	87	587
130	88	584
131	88	581
132	88	578
133	88	574
134	89	571
135	89	568
136	89	564
137	89	561
138	90	557
139	90	554
140	90	551
141	90	548
142	91	545
143	91	542
144	91	539
145	91	536
146	91	533
147	92	530
148	92	527
149	92	524
150	92	522
151	93	520
152	93	517
153	93	515
154	94	512
155	94	510
156	94	507
157	94	505
158	95	502
159	95	499
160	95	497
161	95	495
162	96	492
163	96	490
164	96	488
165	96	485
166	96	483
167	97	481
168	97	478
169	97	476
170	97	474
171	98	472
172	98	470
173	98	467
174	98	465
175	99	463
176	99	461
177	99	459
178	99	458
179	100	456
180	100	454
181	100	452
182	100	450
183	101	448
184	101	446
185	101	444
186	101	442
187	101	440
188	102	438
189	102	436
190	102	434
191	102	432
192	103	430
193	103	429
194	103	427
195	103	425
196	103	423
197	104	421
198	104	420
199	104	418
200	104	416
201	105	415
202	105	413
203	105	411
204	105	410
205	106	408
206	106	407
207	106	405
208	106	404
209	107	402
210	107	401
211	107	399
212	107	397
213	107	396
214	108	395
215	108	393
216	108	392
217	109	391
218	109	389
219	109	388
220	109	387
221	110	385
222	110	384
223	110	382
224	110	381
225	111	380
226	111	378
227	111	377
228	111	376
229	112	375
230	112	374
231	112	372
232	112	371
233	112	369
234	113	368
235	113	367
236	113	366
237	113	364
238	114	363
239	114	362
240	114	361
241	114	359
242	115	358
243	115	357
244	115	356
245	115	354
246	115	353
247	116	352
248	116	351
249	116	350
250	116	349
251	117	348
252	117	347
253	117	345
254	117	344
255	118	343
256	118	342
257	118	341
258	118	340
259	119	339
260	119	338
261	119	337
262	120	336
263	120	335
264	120	334
265	120	333
266	121	332
267	121	331
268	121	330
269	121	329
270	122	328
271	122	327
272	122	326
273	122	325
274	122	324
275	123	323
276	123	322
277	123	320
278	123	319
279	124	318
280	124	317
281	124	316
282	124	316
283	124	315
284	125	313
285	125	312
286	125	312
287	125	311
288	126	310
289	126	309
290	126	308
291	126	307
292	127	307
293	127	306
294	127	305
295	128	304
296	128	303
297	128	303
298	128	302
299	129	301
300	129	300
301	129	299
302	130	299
303	130	298
304	130	297
305	130	296
306	131	296
307	131	295
308	131	294
309	132	293
310	132	292
311	132	292
312	132	291
313	132	290
314	133	289
315	133	288
316	133	287
317	133	287
318	134	286
319	134	285
320	134	284
321	134	283
322	135	283
323	135	282
324	135	281
325	135	280
326	135	279
327	136	279
328	136	278
329	136	277
330	136	276
331	137	275
332	137	275
333	137	274
334	137	273
335	138	272
336	138	272
337	138	271
338	138	270
339	138	269
340	139	268
341	139	268
342	139	267
343	139	266
344	140	265
345	140	265
