iter	Passed	Remaining
346	140	264
347	140	263
348	140	263
349	141	262
350	141	261
351	141	260
352	141	260
353	142	259
354	142	258
355	142	257
356	142	257
357	143	256
358	143	255
359	143	255
360	143	254
361	143	253
362	144	253
363	144	252
364	144	251
365	145	251
366	145	250
367	145	249
368	145	249
369	145	248
370	146	247
371	146	247
372	146	246
373	146	245
374	147	245
375	147	244
376	147	243
377	147	243
378	148	242
379	148	241
380	148	241
381	148	240
382	149	240
383	149	239
384	149	239
385	149	238
386	150	237
387	150	237
388	150	236
389	150	235
390	150	235
391	151	234
392	151	233
393	151	233
394	151	232
395	152	232
396	152	231
397	152	230
398	152	230
399	153	229
400	153	229
401	153	228
402	153	228
403	154	227
404	154	226
405	154	226
406	155	225
407	155	225
408	155	224
409	155	224
410	155	223
411	156	222
412	156	222
413	156	221
414	156	221
415	157	220
416	157	219
417	157	219
418	157	218
419	158	218
420	158	217
421	158	217
422	158	216
423	158	215
424	159	215
425	159	214
426	159	214
427	159	213
428	160	213
429	160	212
430	160	211
431	160	211
432	160	210
433	161	210
434	161	209
435	161	209
436	161	208
437	162	207
438	162	207
439	162	206
440	162	206
441	163	205
442	163	205
443	163	204
444	163	204
445	164	204
446	164	203
447	164	203
448	165	202
449	165	201
450	165	201
451	165	200
452	165	200
453	166	199
454	166	199
455	166	198
456	166	198
457	167	197
458	167	197
459	167	196
460	167	196
461	167	195
462	168	195
463	168	194
464	168	194
465	168	193
466	169	192
467	169	192
468	169	191
469	169	191
470	169	190
471	170	190
472	170	189
473	170	189
474	170	188
475	170	188
476	171	187
477	171	187
478	171	186
479	171	186
480	172	185
481	172	185
482	172	184
483	172	184
484	172	183
485	173	183
486	173	182
487	173	182
488	173	181
489	173	181
490	174	180
491	174	180
492	174	179
493	174	178
494	174	178
495	175	177
496	175	177
497	175	177
498	175	176
499	176	176
500	176	175
501	176	175
502	176	174
503	176	174
504	177	173
505	177	173
506	177	172
507	177	172
508	178	171
509	178	171
510	178	170
511	178	170
512	179	169
513	179	169
514	179	169
515	179	168
516	179	168
517	180	167
518	180	167
519	180	166
520	180	166
521	181	165
522	181	165
523	181	164
524	181	164
525	181	163
526	182	163
527	182	162
528	182	162
529	182	162
530	182	161
531	183	161
532	183	160
533	183	160
534	183	159
535	183	159
536	184	158
537	184	158
538	184	157
539	184	157
540	184	156
541	185	156
542	185	156
543	185	155
544	185	155
545	186	154
546	186	154
547	186	153
548	186	153
549	186	152
550	187	152
551	187	151
552	187	151
553	187	151
554	187	150
555	188	150
556	188	149
557	188	149
558	188	148
559	188	148
560	189	148
561	189	147
562	189	147
563	189	146
564	190	146
565	190	145
566	190	145
567	190	145
568	190	144
569	191	144
570	191	143
571	191	143
572	191	142
573	191	142
574	192	142
575	192	141
576	192	141
577	192	140
578	193	140
579	193	140
580	193	139
581	193	139
582	193	138
583	194	138
584	194	137
585	194	137
586	194	137
587	194	136
588	195	136
589	195	135
590	195	135
591	195	134
592	196	134
593	196	134
594	196	133
595	196	133
596	196	132
597	197	132
598	197	132
599	197	131
600	197	131
601	197	130
602	198	130
603	198	130
604	198	129
605	198	129
606	199	128
607	199	128
608	199	128
609	199	127
610	199	127
611	200	126
612	200	126
613	200	126
614	200	125
615	200	125
616	201	124
617	201	124
618	201	124
619	201	123
620	202	123
621	202	122
622	202	122
623	202	122
624	202	121
625	203	121
626	203	120
627	203	120
628	203	120
629	203	119
630	204	119
631	204	119
632	204	118
633	204	118
634	205	117
635	205	117
636	205	117
637	205	116
638	206	116
639	206	116
640	206	115
641	206	115
642	206	114
643	207	114
644	207	114
645	207	113
646	207	113
647	207	112
648	208	112
649	208	112
650	208	111
651	208	111
652	208	111
653	209	110
654	209	110
655	209	109
656	209	109
657	210	109
658	210	108
659	210	108
660	210	108
661	211	107
662	211	107
663	211	106
664	211	106
665	211	106
666	212	105
667	212	105
668	212	105
669	212	104
670	212	104
671	213	104
672	213	103
673	213	103
674	213	102
675	214	102
676	214	102
677	214	101
678	214	101
679	214	101
680	215	100
681	215	100
682	215	100
683	215	99
684	215	99
685	216	98
686	216	98
687	216	98
688	216	97
689	216	97
690	217	97
691	217	96
692	217	96
693	217	96
694	218	95
695	218	95
696	218	95
697	218	94
698	219	94
699	219	93
700	219	93
701	219	93
702	219	92
703	220	92
704	220	92
705	220	91
706	220	91
707	220	91
708	221	90
709	221	90
710	221	90
711	221	89
712	221	89
713	222	88
714	222	88
715	222	88
716	222	87
717	223	87
718	223	87
719	223	86
720	223	86
721	223	86
722	224	85
723	224	85
724	224	85
725	224	84
726	225	84
727	225	84
728	225	83
729	225	83
730	225	83
731	226	82
732	226	82
733	226	82
734	226	81
735	226	81
736	227	81
737	227	80
738	227	80
739	227	80
740	227	79
741	228	79
742	228	78
743	228	78
744	228	78
745	228	77
746	229	77
747	229	77
748	229	76
749	229	76
750	230	76
751	230	75
752	230	75
753	230	75
754	230	74
755	231	74
756	231	74
757	231	73
758	231	73
759	232	73
760	232	72
761	232	72
762	232	72
763	232	71
764	233	71
765	233	71
766	233	70
767	233	70
768	233	70
769	234	69
770	234	69
771	234	69
772	234	68
773	234	68
774	235	68
775	235	67
776	235	67
777	235	67
778	235	66
779	236	66
780	236	66
781	236	65
782	236	65
783	236	65
784	237	64
785	237	64
786	237	64
787	237	63
788	237	63
789	238	63
790	238	63
791	238	62
792	238	62
793	239	62
794	239	61
795	239	61
796	239	61
797	240	60
798	240	60
799	240	60
800	240	59
801	240	59
802	241	59
803	241	58
804	241	58
805	241	58
806	241	57
807	242	57
808	242	57
809	242	56
810	242	56
811	243	56
812	243	55
813	243	55
814	243	55
815	243	55
816	244	54
817	244	54
818	244	54
819	244	53
820	244	53
821	245	53
822	245	52
823	245	52
824	245	52
825	246	51
826	246	51
827	246	51
828	246	50
829	246	50
830	247	50
831	247	49
832	247	49
833	247	49
834	247	48
835	248	48
836	248	48
837	248	48
838	248	47
839	248	47
840	249	47
841	249	46
842	249	46
843	249	46
844	250	45
845	250	45
846	250	45
847	250	44
848	250	44
849	251	44
850	251	43
851	251	43
852	251	43
853	251	43
854	252	42
855	252	42
856	252	42
857	252	41
858	253	41
859	253	41
860	253	40
861	253	40
862	254	40
863	254	40
864	254	39
865	254	39
866	254	39
867	255	38
868	255	38
869	255	38
870	255	37
871	255	37
872	256	37
873	256	36
874	256	36
875	256	36
876	256	36
877	257	35
878	257	35
879	257	35
880	257	34
881	258	34
882	258	34
883	258	33
884	258	33
885	258	33
886	259	33
887	259	32
888	259	32
889	259	32
890	259	31
891	260	31
892	260	31
893	260	30
894	260	30
895	261	30
896	261	30
897	261	29
898	261	29
899	261	29
900	262	28
901	262	28
902	262	28
903	262	27
904	263	27
905	263	27
906	263	27
907	263	26
908	263	26
909	264	26
910	264	25
911	264	25
912	264	25
913	265	24
914	265	24
915	265	24
916	265	24
917	265	23
918	266	23
919	266	23
920	266	22
921	266	22
922	267	22
923	267	21
924	267	21
925	268	21
926	268	21
927	268	20
928	268	20
929	269	20
930	269	19
931	269	19
932	269	19
933	269	19
934	270	18
935	270	18
936	270	18
937	270	17
938	271	17
939	271	17
940	271	17
941	271	16
942	271	16
943	272	16
944	272	15
945	272	15
946	272	15
947	272	14
948	273	14
949	273	14
950	273	14
951	273	13
952	274	13
953	274	13
954	274	12
955	274	12
956	274	12
957	275	12
958	275	11
959	275	11
960	275	11
961	275	10
962	276	10
963	276	10
964	276	10
965	276	9
966	277	9
967	277	9
968	277	8
969	277	8
970	277	8
971	278	8
972	278	7
973	278	7
974	278	7
975	279	6
976	279	6
977	279	6
978	279	5
979	279	5
980	280	5
981	280	5
982	280	4
983	280	4
984	281	4
985	281	3
986	281	3
987	281	3
988	281	3
989	282	2
990	282	2
991	282	2
992	282	1
993	282	1
994	283	1
995	283	1
996	283	0
997	283	0
998	283	0
999	284	0
